file,participant,condition,conflict_text,p_right,t_right,perceived_pt,age,gender,race,race_other
1a,92,control,"A conflict I had was a roommate who did not hold up their end of the bargain. They never held their own weight in cleaning, paying for groceries or essentials and always loud with partner over. It was difficult to even bring the conflict up due to uncomfortability of having to still live with the person. The groceries I would buy were constantly eaten by roommate and their partner and they never cleaned their messes or dishes. I kept quiet and did the cleaning and started to feel like I was being taken advantage of. I even folded clothes that were left in the dryer for days. I tried to make it obvious that I was doing more than my part while avoiding conflict. This strategy however, just continued to put me in a place where I was being taken advantage of. Eventually things became awkward and I signed a lease for another apartment complex for the following year. This hurt our friendship and overall care for each other, but it had become too much for me to deal with any other way.",5,2,2,21,female,White,
1a,106,control,"I had a conflict with an ex-roommate of mine. We were good friends before we lived together but unfortunately my other roommates and I stopped getting along with her a few months after we moved in. She was constantly making up stories about awful things we had said to about one another behind each others' backs, none of them true. I had never had any issues with her personally, but before moving in my other roommates did. One had an issue with her attitude and thought she was mean and controlling. The other roommate and her spent time together while studying abroad and my current roommate said that she was constantly demeaning to her and would only go/do what she wanted to do. I took issue with her only when she was saying things that were blatantly untrue about the people closest to me. While in the beginning we had all been great friends, we realized that she was incredibly manipulative and didn't value the friendship we all had in the way that the rest of us did. Fortunately, she no longer lives with us. I wish her the best and hope she's doing well but we're all glad to have moved on from that.",5,6,1,21,female,White,
1a,108,control,"I recently got into an argument with my partner. I was very frustrated with her new work schedule, which doesn't allow me to see her very much at all. I wanted more time with her, and she needed more time to decompress and get some time alone. I was already grouchy when she got home one day from work because of a previous miscommunication earlier in the day. This meant I was ready to fight. She had also had a rough day at work, so she wasn't in the best of moods either. We got into it almost immediately. However, we were able to talk it out fairly quickly. I soon realized that I just wanted more time with her, but she needed some breathing room. After that realization things have gotten much better for us.",3,5,4,21,female,White,
1a,109,control,"I was at the skatepark a few weeks ago and this individual mouthed off to me. As he was standing around not skating he muttered ""well I guess the whole park is his"" as I rode by. I thought this was ridiculous considering he wasn't even riding and was just standing around. I chalked it up to him being insecure and didn't want to argue and stoop to his level. His board shot out when he tried q trick and I stopped it for him which is common courtesy, and he didn't even say thank you which was pretty deliberate. Again I chalked it up to him being insecure or upset over something he shouldn't have as I was nowhere near him, gave him ample room ,and he wasn't even skateboarding.",6,4,5,21,male,White,
1a,112,control,"There was a conflict where an figure of authority was forcing me to perform a duty every single week instead of a previous arrangement I had of once a month. The authority figure pushed to have every officer perform every week. However, there clearly wasn't a need for all the officers. The most that was needed was 2. Very obviously too, the authority figure allowed other officers to perform once a month, but seemed to only give me a hard time about it and continually tried to find loopholes to make me follow. This continued until it was brought to higher authority.",6,3,2,21,female,asian,
1a,117,control,"This conflict was between a close family member and myself regarding the upcoming election. This individual and I have never seen eye to eye on political issues and therefore do not typically talk about them. However, I felt it was no longer a topic to be silent about given the current state of the country. I do not consider myself incredibly liberal or conservative, but this person is very conservative. They began to make an argument for the reelection of our current president by saying I am still too young to understand the big picture and saying that I'm believing the 'fake news' and propaganda apps like Twitter and Instagram promote. I found this to be a frustrating scenario because the person was not trying to support their beliefs with factual and informative points. Instead they spent their time trying to negate my points of view as a whole. Ultimately the conflict did not go far before I realized there would be no calm discussion on the issue without getting into an arguement. Because of this I removed myself from the situation and decided it be best to not continue discussion further.",7,1,1,21,female,White,
1a,119,control,"I had a recent fight with one of my best friends due to the fact her boyfriend is disrespectful, drinks too much, and is not a nice person. My best friend is bi-sexual, and her boyfriend and his family have repeatedly said bad things about gay people. In addition, my best friend is very liberal and open minded. Her boyfriend is very conservative and has said horrible slurs that are racist and sexist. She does not see an issue in his actions and often lies about his beliefs. I find him hard to be around and truly believe she deserves better. I have told her this more than once that he makes people uncomfortable and is all together not a good man. We have many friends who are POC and part of the LGBTQIA+ community and it disheartens me she would be with someone who says offensive things about people we love.",7,1,1,21,female,White,
1a,128,control,My boyfriend cheated on me and I caught him with things on his phone and he still to this day hasn't told the whole truth and so it affects our relationship still. It causes fights constantly.,7,1,1,20,female,White,
1a,129,control,"A memorable conflict I had with another person was about a year ago with someone I lived with. She was a friend I made freshmen year and we're from the same place back home. She seemed cool and we became friends. We then decided to live with each other in an apartment when we moved out the dorms. While living with her, I realized she wasn't the person I thought she was. There was a lot of qualities in her that I didn't want in a friend. She would lie, was very immature, rude and a lot of people seemed to have problems with her. Things got bad and she started to isolate herself from me and our other roommate. It got to the point where we all had to sit and talk together to try work it out, but nothing got resolved. She ended up moving out and I feel like our lives are a lot better.",7,1,1,20,female,asian,
1a,131,control,"When I was in high school, I did not see eye to eye with a colleague. Instead of confronting them face to face about any disagreement we just spent years disagreeing without any change. There were times when we would get into screaming fits with one another. One time in particular, we we were working together on a project, but we couldn’t get any work done. The entire time we were arguing about nonsense that looking back on it didn’t make any sense. Now, I realize that many of my decisions back then were ill advised. I let my emotions get the best of me.",5,2,4,20,male,White,
1a,133,control,"When I was a kid me and my sister sometimes would get into arguments. There was one time that I remember that was particularly bad, because she had taken something of mine and hid it from me. This escalated into a bigger argument and ended up being a name calling ordeal. Eventually we had gotten to the point where we both were crying but still mad at eachother trying to think of different names to call eachother. To me it felt like it could have been solved if she had given me my toy back, but we were kids and liked to mess with eachtoher sometimes. I remember trying to think of what I could take from her after the whole incident because I wanted to get payback. When my sister was out of her room, I snuck in and decided to take her new american girl doll. As I was walking out my mom came up to me and asked what i was doing with the doll. I ended up getting in trouble for this, but it helped me learn that just because she did something and didn't get in trouble, it doesn't mean that I will have the same thing happen to me.",2,3,3,20,male,White,
1a,134,control,"The conflict that i am going to describe was between me and one of my close friends, in this conflict it also involves my boyfriend at that time. Me and my boyfriend dated for about 5 months and it wasn't until the last two months or so I realized he was doing some sketchy things. Not returning my texts, leaving me on read, hanging out with my friends without inviting me, specifically with this my friend who I had danced with for many years and she was dating my boyfriends best friend at that time. Within the last two months of our relationship my friend and her boyfriend broke up due to conflict, and that's when my boyfriend started to hang out with my friend more and more often without telling me. He then proceeded to ""randomly show up"" to places that me and that friend was at, all this time when he would show up I didn't feel like he was there to see me but more of my friend. Once we had broken up, within two weeks he started dating the same friend that had dated his best friend only a couple months ago. Later to my discovery I found out that my ex was only dating me so that he could work his way in on my friend. Not only that, but I asked my friend if they were dating because she had eluded to it before but never gave me a response, she said no. Found out through a post on instagram later that week that she had posted of him saying something along the lines of ""ain't my boyfriend hot"". Finding out that she had lied to my face i confronted her about it, she continued to lie about the whole situation, I gave her one last chance to tell me the truth and she didn't. I friendship ended right then and there.",6,3,2,20,female,White,
1a,136,control,"My parents and I got into a fight over attendance in high school. I had started missing a lot of classes senior year and they were not happy. I received a truancy letter and they had to sign it. My argument was that I had a 4.0 GPA and always got my work done regardless of attending class. I had always been a good student and if i can get straight A's without attending class, why would I show up?",7,3,1,20,female,White,
1a,142,control,"The conflict was between me and my father. It started over family issues, but quickly escalated into other areas of life, as most arguments tend to do. My father does not get over emotional or yell, contrary to me. The initial disagreement led to disputes over money, work ethic, and much more. The fight was over the phone but that factor did not lessen the intensity. The fight lasted for over an hour and we never really resolved the issue. Often, upon reflecting on disagreements, people find the source of the disagreement to be almost pointless. The end!",4,4,2,20,male,White,
1a,144,control,"During high school, I worked in a tire shop. A new co-worker transferred to the shop I was working at. When I arrived during his first shift, he had put his things in my locker, which, in fairness was empty at the time. I moved his things into an unused locker and was called away to help with something before I could find him. He later found me and asked if he had taken my locker, I apologized for not being able to find him and let him know, he accepted it and we seemed to be okay with one another. Another coworker later told me that the new co-worker had been going through my things while complaining about me. Rather than getting provoked at something someone else said they had seen, I left a note in my own locker with the new co-workers name on it. The note disappeared, and for several weeks things grew more tense between us. I gave my two weeks notice for unrelated reasons, and the entire time I thought of what I could say or do to him after my last shift, and how good it would feel. Eventually I decided the entire conflict wasn't worth being so worked up over, and I chose to part ways with him without saying a word.",4,4,2,20,male,White,
1a,150,control,"My boyfriend and I were making dinner in my kitchen. We have been known to have the occasional lover's spat, but we have made it over a year of being together. We were making casual conversation and came upon the topic of strippers and going to strip clubs. I then asked him if he had ever been to one before. He said that he had. I asked him when he had gone. He said that he had gone over the summer when we were apart with he friends. We then proceeded to get in a fight and I did smack him. I was very upset because of the dishonesty and felt as though going to a strip club was a form of cheating. He argued that we are still really young and that he wouldn't have gone if he knew how much it would bother me. We eventually worked it out but that was a very memorable conflict and one of the biggest fights that I have had with him.",4,5,5,20,female,White,
1a,155,control,"My freshman year, I went through depression because I had a relative pass away a month before I started college. I dealt with this problem for months, but I didn't get professional help for it. I then told my parents about it, but they did not believe me and refused to get me help. My parents are Asian so they don't believe that depression or mental illness is real. They thought that if I didn't have physical injuries, then nothing was wrong. I resented them for a long time, and continued to struggle with my mental health. I started to get severe anxiety and had had anxiety attacks, but never got help for it. I begged my parents to allow me to use insurance to get help, and they refused. It's been about two years now and I went to get professional help on my own.",3,6,3,20,female,asian,
1a,157,control,"I was in a bad state of mind when I was in High school. I had a bad day and did not want to be apart of anything. Without texting me any details I was surprised. Three of my friends drove to my house and brought me flowers, and brownies. It made the rest of my night really happy. I did not expect for them to bring me these things. The only thing I got was a text saying to come outside. Will always remember this night and even till this day my friends will always be the best. I know I could always have them in my life.",7,7,7,20,male,"hispanic, latinx, or spanish origin",
1a,160,control,"I had a conflict of deciding on if I should keep my father in my life as he has been distant to me. The main straw was during my high school graduation. He has been out of my life since the beginning of high school, and has made little effort to stay in it. He texted me on the week of graduation, on if he could come still. I had the conflict of making a decision on weather or not I should let him. I ended up letting him after a long thought process. He still has made little effort since then, so I know that if I come across a similar conflict, I should pick the other option.",4,1,5,20,male,White,
1a,161,control,When I was in third grade I began to realize the racism around me. This racism also included hate towards other groups. I would see young children being hateful at school towards other students. Once the hate was towards me and I was indirectly called a terrorist. Although it may have been a joke it caused conflict and hate.,7,1,1,20,female,middle eastern or north african,
1a,163,control,A guy tried to dance with my girlfriend so I shoved him off and he tried to punch me so I tackled him and punched him on the ground until my friends took me off,7,1,1,20,male,White,
1a,164,control,There was this girl that was talking to me and being flirtatious. I then found out she started flirting with my friend while she was still talking to me. Then she continued to try to flirt with another one of my friends while still flirting with everyone. For some reason she thought we wouldn't find out which doesn't make sense because were all boys. She thought she could play all of us and get away with it and it blew up in her face. I had invested time and energy into being friends with her and I honestly I was just disappointed that she had to act this way. I had just tried to be supportive but without trust there is no point of even trying to maintain a relationship.,7,1,5,20,male,White,
1a,168,control,"I had a debate with an old classmate on social media because he said something pretty stupid and ignorant. He basically justified the war on terror because they were all terrorist. I told him that was stupid and ignorant to refer to a whole region as terrorists. He said he knew why we were there, which was to stop terrorists from controlling the region, but I told him that we really went there for our own interests. I told him that American imperialism Is not the answer to solve injustices abroad. I referenced history, when the Americans helped liberate the Philippines from Spain so they could control them. They essentially removed a foreign power so they could be in control and called the local Filipinos as insurgents, but I found hypocritical because they were fighting for freedom. The United States has done a lot of beautiful things for the world, but also a lot of horrible things and a lot of it seems to be skewed or completely left out in our history books, which kind of makes me mad. The western world is supposed to represent freedom, but often, it has had its fair share of dark actions throughout its history.",7,1,1,20,male,asian,
1a,170,control,"Arguing with another student at a political debate on campus. I consider myself to be very liberal and the other person was conservative. I feel very strongly that gun laws should be made more strict in order to protect the lives of Americans. The other person felt strongly that only more guns could solve this problem. I found that I get emotional over this issue and I had a hard time making my points due to this emotion. I think this is a very emotional issue and so it becomes difficult to have a heated conversation. I think it is further made difficult by the fact that today in our political world we are all very set in our ways and it seems like it is impossible to change anyone's mind anyways. I think these conversations are productive though. They allow us each to grow and adapt our opinions. Therefore, while these conversations are frustrating I look forward to having more of them.",6,2,2,20,female,White,
1a,171,control,"In my junior year of high school I began coming out to my friends as gay. However, I had one friend who was very Christian and did not approve. I decided not to tell her, but she found out and became very upset with me. She told me that she didn't approve of me being gay and wanted me to follow the Bible. She had a very closed-minded view of the world and my friends and I constantly had to avoid certain topics to appease her, so we knew that it would be extremely difficult to try to explain to her. One of my other friends (who supported me) and I got into many heated arguments with her, and she didn't want to keep being friends with me if I followed that lifestyle. She broke off contact with me and we didn't really talk throughout the rest of high school. I wanted to continue to be friends with her since she had been one of my best friends and so I tried to regain contact after a while, but our friendship never resurfaced. Even today, we remain friends on Facebook due to our strong friendship in high school, but I haven't spoken to her in almost three years.",7,2,5,20,male,White,
1a,176,control,"I once had a conflict with my grandmother because she had called my mother on her cell phone one day and I was at my mom's house at the time. My mom put my grandmother on speakerphone because she was doing the dishes and it was easier to be hands-free. My grandmother then proceeded to tell my mother that she thought I was very ungrateful for all that she has done for me and she called me many hurtful names. She was unaware that I was on the phone call but I was hurt. My mother told my grandmother that if she felt that way, she should not attend my graduation, and should stay home. She took that advice as meaning she couldn't attend the graduation and so she stayed home. Afterwards, I tried talking to my grandmother to try and sort out all of the mixed feelings but every time I tried to call her my grandpa answered the phone and told me she didn't want to speak to me. I went to her house and she was very terse and told me she didn't want to talk about what had happened. Eventually she told me she was sorry and she thought I was mad at her. Although I am still a little hurt, we have both forgiven each other since the incident.",5,3,6,20,female,White,
1a,180,control,I had a disagreement with a friend over how much money was owed for driving some place. They believed that they were owed a very large amount of money and I disagreed because it didn't add up correctly. We went back and forth arguing about the amount for a while. It eventually came down to us having to retract what we spent and who spent it. It wound up being a lot lower than what he was asking for and the conflict was resolved.,6,3,1,20,male,White,
1a,183,control,"I have had a conflict with my best friend. She is going back to a guy that hurt her. She broke up with her current boyfriend to be with her ex. All of my best friends and I think she is being dumb, but she does not want to listen to us. It is hard to watch someone not believing information. My friends and I confronted her but she does not want to face the truth because she is in love still.",6,3,1,20,female,White,
1a,191,control,"A memorable conflict that I had with another individual was on the basis of housing and where to live for the following year. My close friend and I were having some issues in our friendship and I approached her with the idea of living in separate houses for the following year. My reasoning for this conversation was that I believe that we were spending a large amount of time together and that if we lived together we would have more issues in our friendship. However, she did not agree with this decision because she believed that there was malicious intent behind the decision. I informed her that there was no malicious intent behind my reasoning, I simply just think we would make better friends than we would roomates. In addition, we just had different lifestyles and goals and I thought that it would be a better decision to live separately but still remain friends. This was hard for her to grasp and she did not speak to me for quite some time because we had different opinions and beliefs on the matter, however, in life there will be people who do not agree with your beliefs and your ideas but we need to be able to listen to those opinions and share ours as well. By doing this, I think we were able to overcome some hardships in our friendship. In the end, we were able to communicate better with eachother about our feelings and this inherently made our relationship stronger in the end.",4,4,6,20,female,White,
1a,199,control,"A massive blowout argument with a relative surrounding what I wanted to do with a particular life goal. The contention was not a new one. Tensions had been rising for weeks. The problem had been repeatedly pushed off. When it was not pushed off, it always ended in an unsatisfying manner. Nothing was resolved each time. When the big confrontation came, there was a massive screaming match, which doesn't typically happen with me. Many hurtful things were said on both sides, but it also allowed a clearing of the air. After all thoughts were laid out, the outcome ended up being a good one. The most ""violent"" occurrence was simply yelling.",7,5,4,20,male,asian,
1a,202,control,Recently my roommates and I got into an argument. Three of us have been stuck in the house since COVID started. We started off practicing good social distancing but it did not last. Roommate A kept bringing different people home every night. Roommate B decided to move in her boyfriend from California without asking us first. This increased house tension made everyone petty and mad at each other. There was issues with payment of bills. There were other issues that were smaller like cleaning and chores and being disrespectful. Eventually one roommate threatened to leave and break the lease. Eventually the people left our house and the tension reduced.,6,6,5,20,non-binary,asian,
1a,203,control,"Arguing with my sister about her stealing my favorite shirt. When I was in middle school and she was in high school I would always borrow her clothes. I would of course always ask her first if it was okay to do so. Sometimes I would ask her at inconvenient times or very last minute. But I at least always asked and never ruined any of her clothes and made she they were washed and returned. This particular shirt was brand new and super cute and cropped. I made it clear I wanted to wear it first and she could borrow it once I had already worn it. She borrowed it without asking and actually spilled hot sauce on it, which never came out. She pretended it wasn't her and that it wasn't her fault. We ended up not speaking for a whole week.",6,6,2,20,female,"hispanic, latinx, or spanish origin",
1a,204,control,A conflict that I have had recently was whether or not I would take summer classes at UO. I personally thought it would be a good idea as it would help me get ahead on classes and credits. My father on the other hand did not understand my eagerness to do it. He did not want to spend extra money on courses during summer. I explained that courses during summer term were cheaper and currently online. He however did not understand my need to do so and because of it not have a summer vacation. Eventually we came to the compromise that I could do one course during summer term.,6,4,5,20,female,White,
1a,218,control,"This year, I had a disagreement with my roommates about chores. One particular roommate was super confrontational. She was also unwilling to compromise in some cases. This one roommate, she was never home, and tried to avoid us. The reasons she avoided us was unknown, but she thought that if she was never home, she wouldn't have to do chores. That isn't how living with other people works. So we had to make a chore chart, but it didn't help because she was STILL never home to do any chores. We had long text battles about it, and finally we gave up because she wasn't really worth our time. We also thought that some chores like dishes were time-sensitive, because if we just left them until the end of the day, they would pile up, making the sink virtually unusable. She didn't think that this mattered, and she did her chores whenever she wanted, even if it was inconvenient for us, which was very frustrating. It was like she tried to make our lives harder.",6,2,2,20,female,White,
1a,222,control,One time a girl who was one of my really close friends texted me as I was walking home from work calling me and all my roommates rude and self centered. The text messages was a mini essay telling me and my friends that no one liked us and we were being exclusive and disrespectful to other people. When I responded asking why she felt that way and if she explain herself better she got super defensive and continued to call me and all my roommates that we were not good people. She also went on to say that all of our mutual friends didn't like me or my roommates and they all told her to talk to me. I kept refuting what she was saying and told her that I don't have any issues with anyone and I have talked to all the people she mentioned and it was the first they had heard of this complaint. I told her that if she was personally upset with me that was okay and we could figure it out between the two of us but she eventually shut down and didn't want to talk about it anymore and tried to turn herself into the victim. We are now not friends anymore.,7,1,3,20,female,White,
