file,participant,condition,conflict_text,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1a,61,control,"I got into an argument with my ex-boyfriend about his cheating. I had found out that he was using a dating app while we were together and I confronted him with screenshots. My girlfriend had shown me screenshots he found of his profile a couple hours earlier. When he got home from work, I showed him the picture and asked him what he was doing on a dating app still. He denied it was him until I pointed out that the pictures were taken recently and weren't posted anywhere else. He then confessed, started making excuses for why he had the account, and begged me to believe that he was not using the app for meeting people. He claimed that the app was his way of making professional connections. I didn't believe him, because no one uses a dating app for that purpose. I cussed him out and left after that.",151,28.44,80.53,22.95,5.02,16.78,17.88,95.36,60.93,25.17,19.87,7.28,0.66,0,11.92,0,5.3,6.62,11.26,8.61,3.31,6.62,2.65,20.53,1.99,1.99,1.99,0.66,0.66,1.99,0,1.99,0,1.99,0,20.53,0,1.32,0,11.92,11.92,3.31,5.3,0,0.66,0,2.65,1.99,1.99,0,0,0,0,0,0,0,9.27,3.97,1.99,1.32,1.99,0,16.56,2.65,0.66,15.23,0,6.62,8.61,1.99,0,0.66,0.66,0.66,0,3.31,0,3.31,0,0,0,10.6,5.96,2.65,0,0,0,0,0.66,0,1.32,0,0
1a,62,control,"A conflict I have had with a friend in the past had been after a night of drinking. My friend( significantly more intoxicated than I was) was in the heat of the moment and would not stop ranting about a vlogger on youtube. When I was finally fed up with the drunken rant, I tried to argue the point he was making in hopes he would let it go, however this led him to turn the topic of his rant on me  and continued to tell me how I was a bad friend and all the things I had done wrong. Since I was already fed up with his previous rant I opted to leave because I would not take this unnecessary spite. As I was getting my shoes on to leave my friend continued to slander and insult me saying ""you said you were going to leave so get out!"" I calmly said I had to put on my shoes. As this continued in the time it took me to put on my shoes I got angry and said something to this friend that I knew would hit very close to home, and it did. After I said this, he charged me with his fist clinched. Luckily another friend was there to break it up, however I never reacted or intended to fight him in the first place.",229,52.43,36.33,87.65,4.09,25.44,11.79,93.45,63.76,21.4,15.72,11.35,0,0.87,3.49,0,5.68,6.11,17.9,9.61,4.8,6.55,1.31,20.96,3.93,2.62,0.87,0.44,1.31,4.37,0.87,3.06,0,2.18,0,10.92,0,2.62,0,3.49,10.04,0.44,3.06,2.18,1.75,0.87,2.62,2.18,0,2.18,0,3.49,1.31,0.44,0,1.75,8.3,2.62,0.87,1.31,2.18,1.31,13.1,4.37,0.44,19.21,3.93,7.42,7.42,0,1.31,0.44,0,0,0,0,0,0,0,0,0,7.86,3.49,2.18,0,0,0,0.44,0,0.87,0,0.87,0
1a,65,control,I was in Puerto Rico with my girlfriend. It was late at night and I went on a short bike ride to drop something off nearby. I encountered a friend and walked and talked for a second. Because I took a little long my girlfiend decided I was cheating. We argued for about an hour outside our airbnb. She had the keys. Eventually she maced me. We still didn't go inside. I eventually took the keys from her cuz the mace hurt so bad I had to shower. Then I showered and cried cuz it hurt so bad. That made her feel bad  so she stopped being crazy.,108,34.9,57.35,90.03,1,9.82,11.11,90.74,60.19,21.3,17.59,10.19,2.78,0,4.63,0,3.7,7.41,12.04,6.48,6.48,10.19,0.93,16.67,2.78,0,0,0.93,0,8.33,0,8.33,0,1.85,2.78,11.11,0,1.85,4.63,0,7.41,1.85,3.7,0,0.93,0,0.93,2.78,0,0,2.78,0,0,0,0,0,11.11,4.63,0.93,0,1.85,3.7,13.89,1.85,2.78,20.37,4.63,8.33,7.41,0,0.93,1.85,0,0,0,1.85,0,1.85,0,0,0,11.11,10.19,0,0,0,0,0,0,0,0.93,0,0
1a,68,control,"I grew up in a religious, conservative household in Oklahoma. Over time I grew further and further from these values, especially after the age of 16. Sometime between the age of 16 and 17 my mother confronted me regarding my religious views. I chose to be honest, and was originally not believed. I was told it was a faze. As time went on and I remained adamant, arguments on the topic increased. Eventually it created an increasingly tense household environment. More stringent rules were placed on me due to distrust resulting from the arguments. I refused to abide by these rules and was eventually kicked out of my home.",109,88.52,23.15,99,5.86,12.11,26.61,88.99,54.13,13.76,10.09,10.09,0,0,0,0,3.67,6.42,19.27,5.5,3.67,5.5,0.92,11.93,5.5,4.59,0,2.75,0.92,7.34,2.75,4.59,0.92,3.67,0,4.59,0.92,0,0.92,0,5.5,0.92,1.83,0,0.92,0.92,0.92,0.92,0.92,0,0,0,0,0,0,0,8.26,0,0.92,6.42,0,0.92,11.93,0.92,2.75,24.77,4.59,11.01,9.17,0,0,2.75,0,1.83,0,0,0,0,0,0,0,11.93,8.26,3.67,0,0,0,0,0,0,0,0,0
1a,73,control,"Its hard to recall. I'm not a very confrontational person unless I'm coming to someone else's defense, this mainly happens if I see someone being treated unfairly. Thus I come to their defense without being asked or prompted.",38,12.16,5.73,90.72,1,12.67,26.32,89.47,57.89,23.68,13.16,10.53,0,0,0,2.63,10.53,2.63,13.16,10.53,5.26,7.89,5.26,23.68,2.63,0,0,0,0,7.89,0,7.89,0,2.63,0,13.16,0,0,0,0,26.32,2.63,2.63,2.63,13.16,0,13.16,5.26,2.63,0,2.63,0,0,0,0,0,5.26,0,0,0,0,5.26,2.63,13.16,2.63,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.42,7.89,2.63,0,0,0,0,0,0,7.89,0,0
1a,74,control,The common conflict of siblings fighting over the tv is a conflict I have been a part of. In this conflict everyone believes they deserve it. The video game systems always take over the largest tv in the house. So my brothers believe they can have it because the system in set up there. Though we can to a solution that the video game system be moved into his room.,70,85.46,87.34,70.81,8.64,14,20,88.57,60,15.71,8.57,2.86,1.43,0,1.43,2.86,7.14,14.29,14.29,10,4.29,4.29,0,12.86,2.86,1.43,0,0,1.43,1.43,0,1.43,0,1.43,0,14.29,2.86,0,0,2.86,10,4.29,2.86,0,0,2.86,1.43,2.86,2.86,0,0,0,0,0,0,0,15.71,7.14,1.43,5.71,1.43,0,2.86,12.86,0,17.14,1.43,12.86,1.43,0,8.57,2.86,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0
1a,76,control,A conflict I have had would be with my brother. When we were younger we would argue over who gets to watch the tv in the living room. He would take the remote and then I would try and grab it from him. As soon as I would get it he would grab it back. We would yell at each other in hopes of the other person giving in. Eventually we would start hitting each other and fighting to get the remote back. Mostly just taking the remote back and forth and arguing. This conflict usually wouldn't last very long. Eventually our mom would tell us to stop and resolve the conflict. This would happen a lot when we were younger and a lot less when we got older.,129,16.55,93.94,17.97,14.96,12.9,10.85,96.12,65.12,18.6,11.63,3.1,6.2,0,2.33,0,6.98,7.75,10.08,12.4,10.08,10.08,0.78,24.81,4.65,4.65,3.1,0,3.88,5.43,2.33,3.1,0,3.1,0,15.5,1.55,0,0.78,3.1,16.28,0.78,0,9.3,4.65,0,2.33,3.1,0.78,0.78,1.55,0.78,0,0.78,0,0,14.73,6.98,1.55,0.78,4.65,0.78,3.1,10.08,3.1,20.93,0,10.08,13.18,0,0.78,0.78,0,0,0,0,0,0,0,0,0,8.53,7.75,0,0,0,0,0,0,0,0.78,0,0
1a,81,control,"We didnt want to go shopping with a group of friends. And we were all arguing about it, then we all stopped talking to one another. And then we all separated to different areas of the mall. They went shopping in one stop and the rest of the group hung out in another. We all got lunch together and we asked if they wanted to hang out in a store by the mall cause they were done shopping and they said no. They called the store we wanted to go to dumb and that we were suppose to go with them to a different part of the store. After that the group started to argue and get mad at one another. Insults were said and people were being rude and insulting to one another. And then it ended with one group flipping the other off and driving off.",148,83.69,97.45,32.31,1,16.44,14.19,97.97,58.11,15.54,9.46,0,5.41,0,0,4.05,6.08,7.43,18.92,5.41,0.68,10.14,1.35,18.24,3.38,2.03,0,3.38,8.78,4.73,0,4.73,0,4.73,0,20.27,0,0.68,0,0,10.14,0,0.68,2.7,1.35,2.7,4.05,1.35,0,1.35,0,0.68,0,0,0,0.68,12.16,9.46,0,0,1.35,1.35,12.16,4.73,2.03,16.89,4.05,7.43,5.41,0,3.38,0,4.05,0,0,0.68,0.68,0,0,0,0,6.76,6.08,0.68,0,0,0,0,0,0,0,0,0
1a,85,control,"I have had an ongoing conflict with my father since I was young. My father was a valedictorian from high school graduation straight to when he graduated with a PhD. He doesn't seem to understand that school isn't as easy for other people as it was for him. My sister is like my father and she graduated college after only 3 years. Meanwhile I am in my fourth year and approximately halfway finished with school. My dad sees me work on schoolwork and studying for the majority of every single day and I try very hard but somehow my grades don't reflect the effort that I put in. I tell him that I'm just not cut out for school, I mean I barely graduated high school, but he doesn't want to let me drop out. He sees school as the only option and he is disappointed in me every single day because of my grades. This back and fourth between my father and I about my grades has caused a huge strain not only in our relationship but in the relationship of every single family member and lots of times I feel like one day the family is all going to split up and it's all because I'm not good enough for them.",213,38.98,21.23,86.8,18.82,26.62,11.74,97.18,60.09,19.72,16.43,11.74,0.47,0,3.76,0.47,3.29,4.23,16.43,8.45,5.16,8.45,3.29,14.08,6.57,2.82,0.47,3.29,5.16,2.35,0.94,1.41,0.47,0,0.47,10.8,3.76,0,0.94,5.63,14.08,2.35,1.88,0.47,3.29,2.35,4.23,1.88,0.94,0,0.94,0,0,0,0,0,7.51,3.29,1.41,2.35,0.47,0,2.35,10.8,0.47,13.62,1.41,7.04,5.63,8.92,0.94,0.94,0,0,0,0,0,0,0,0,0,8.45,4.23,0.94,0,0,0,0,0,0,3.29,0,0
1a,88,control,"I had an ongoing conflict with my good friend a few years ago. It lasted a couple of months, at least. I ended up sleeping with his ex-girlfriend who had been single for over a year at this point. He was still very tied up about her, so it certainly bothered him when he found out. I apologized, not knowing that it would bother him so much, but he continued to hold a grudge, which I found childish. I concluded that if he didn't want to talk to me and it was that big of a deal to him, then I would wait for him to get over it. He retaliated by hooking up with my ex-girlfriend, which at that point I had emotionally moved on. I found that move extremely petty and decided that a person of that character didn't need to be in my circle. Eventually, I got over it, as did he. We laugh about it to this day.",162,38.22,52.47,62.06,16.88,16.2,11.73,93.83,66.67,27.78,16.05,8.02,0.62,0,7.41,0,11.73,4.32,19.14,7.41,5.56,5.56,1.85,16.05,4.32,1.23,2.47,0.62,3.09,4.32,1.85,2.47,0,2.47,0,12.96,0,1.85,0.62,6.79,10.49,3.7,0,3.09,0.62,1.23,3.09,1.23,0.62,0.62,0,0.62,0.62,0,0,0,8.02,1.23,0,4.94,1.85,0,10.49,4.32,1.23,18.52,1.23,9.26,8.02,0,0,0,0,0,0,0,0,0,0,0,0,14.2,6.17,5.56,0,0,0,0,1.23,0,1.23,0,0
1a,90,control,"My best friend since high school was pregnant while her husband was deployed. We talked every day and I supported her through her whole pregnancy. I flew out to see her during her due date but the baby was born after I left. Her husband did not come back until 3 months after the baby was born, and we were still talking everyday even though she had a newborn. When her husband came back she stopped wanting to talk to me all the time and I was understanding of that. I had gone through some stuff on my own while she was dealing with the changes in her life. Finally we start to talk again but I am reserved because I went through some changes too but this made her upset. She got upset with me for asking too much of her when I would constantly tell her that I was fine and I understand her situation. Eventually I got upset because it felt like I was put on the back burner even though I tried to be as understanding of her as possible.",184,18.3,79.26,82.6,25.77,20.44,15.76,96.2,64.13,23.37,20.11,9.24,1.63,0,9.24,0,3.26,3.26,14.13,8.15,8.7,9.78,0.54,20.65,5.43,3.26,1.09,0.54,3.26,3.26,1.63,1.63,1.63,0,0,19.57,3.8,1.09,9.24,1.63,13.04,2.17,3.26,1.09,1.63,1.63,3.26,1.09,0.54,0,0.54,1.63,0,1.63,1.09,0,7.07,3.8,1.09,1.09,1.63,0.54,14.67,4.89,0.54,22.28,4.35,4.89,14.67,0.54,0,0,0,0,0,0,0,0,0,0,0,5.43,4.89,0.54,0,0,0,0,0,0,0,0,0
1a,91,control,"I had a conflict with my mom. I was in high school. She was not acting appropriate and was not healthy mentally or physically. This time was very hard. My whole family was involved. I had to move in with my grandma then my aunt, mandated by the courts. It changed my whole life and I still think about it today. I am a different person because of it. It forces me to be better for myself. I am glad it happened, but it changed me and my family.",89,13.48,5.8,98.24,84.99,8.9,14.61,94.38,64.04,25.84,17.98,16.85,0,0,1.12,0,7.87,3.37,11.24,11.24,3.37,7.87,2.25,16.85,7.87,2.25,0,0,2.25,3.37,3.37,0,0,0,0,8.99,5.62,0,4.49,0,11.24,1.12,4.49,0,1.12,0,5.62,1.12,0,0,1.12,2.25,0,2.25,0,0,5.62,2.25,1.12,2.25,1.12,0,11.24,6.74,1.12,11.24,3.37,3.37,4.49,1.12,2.25,2.25,0,0,0,0,0,0,0,0,0,13.48,11.24,2.25,0,0,0,0,0,0,0,0,0
1a,92,control,"A conflict I had was a roommate who did not hold up their end of the bargain. They never held their own weight in cleaning, paying for groceries or essentials and always loud with partner over. It was difficult to even bring the conflict up due to uncomfortability of having to still live with the person. The groceries I would buy were constantly eaten by roommate and their partner and they never cleaned their messes or dishes. I kept quiet and did the cleaning and started to feel like I was being taken advantage of. I even folded clothes that were left in the dryer for days. I tried to make it obvious that I was doing more than my part while avoiding conflict. This strategy however, just continued to put me in a place where I was being taken advantage of. Eventually things became awkward and I signed a lease for another apartment complex for the following year. This hurt our friendship and overall care for each other, but it had become too much for me to deal with any other way.",183,55.45,33.1,87.38,17.79,18.3,18.58,92.9,60.66,16.94,10.38,6.56,0.55,0,0,3.28,6.56,6.01,15.85,9.29,6.01,6.56,1.64,19.67,2.73,1.64,1.09,0,3.28,3.83,1.64,2.19,1.09,0,0.55,7.65,0,2.19,0,0,10.93,2.19,0.55,0.55,2.19,2.19,4.37,2.73,0,1.09,1.64,3.83,0.55,0.55,0,2.73,8.74,2.73,2.19,1.64,2.19,1.09,11.48,3.28,0.55,15.3,1.64,6.56,7.1,0.55,0,2.19,2.19,0,0,0,0,0,0,0,0,7.1,5.46,1.64,0,0,0,0,0,0,0,0,0
1a,106,control,"I had a conflict with an ex-roommate of mine. We were good friends before we lived together but unfortunately my other roommates and I stopped getting along with her a few months after we moved in. She was constantly making up stories about awful things we had said to about one another behind each others' backs, none of them true. I had never had any issues with her personally, but before moving in my other roommates did. One had an issue with her attitude and thought she was mean and controlling. The other roommate and her spent time together while studying abroad and my current roommate said that she was constantly demeaning to her and would only go/do what she wanted to do. I took issue with her only when she was saying things that were blatantly untrue about the people closest to me. While in the beginning we had all been great friends, we realized that she was incredibly manipulative and didn't value the friendship we all had in the way that the rest of us did. Fortunately, she no longer lives with us. I wish her the best and hope she's doing well but we're all glad to have moved on from that.",207,24.96,91.94,30.11,78.8,20.7,15.46,94.2,65.22,23.67,17.39,4.83,4.83,0,7.25,0.48,6.28,5.31,14.01,11.59,5.31,6.76,1.93,21.74,5.8,2.9,0.97,0.97,3.86,5.8,4.35,1.45,0,0,0,19.81,0,3.38,7.25,0,12.08,1.45,1.45,1.93,0.97,2.9,3.86,1.45,0,1.45,0,0.97,0,0.97,0,0,14.01,9.18,0.48,2.42,2.42,0.48,13.53,4.83,0.97,16.91,1.93,8.21,6.76,0.48,0,2.42,0.48,0,0,0.97,0,0,0,0.48,0,9.66,4.83,1.93,0,0,0,0,0.48,0,1.93,0,0.48
1a,108,control,"I recently got into an argument with my partner. I was very frustrated with her new work schedule, which doesn't allow me to see her very much at all. I wanted more time with her, and she needed more time to decompress and get some time alone. I was already grouchy when she got home one day from work because of a previous miscommunication earlier in the day. This meant I was ready to fight. She had also had a rough day at work, so she wasn't in the best of moods either. We got into it almost immediately. However, we were able to talk it out fairly quickly. I soon realized that I just wanted more time with her, but she needed some breathing room. After that realization things have gotten much better for us.",136,39.39,61.58,52.16,8.31,13.6,13.24,98.53,56.62,20.59,15.44,6.62,2.21,0,6.62,0,5.15,3.68,14.71,6.62,8.09,5.88,1.47,15.44,8.82,6.62,1.47,0.74,6.62,6.62,2.21,3.68,0,2.94,0.74,11.76,0,0.74,6.62,0,13.24,2.21,1.47,2.94,2.94,0.74,2.94,1.47,0.74,0,0.74,0.74,0.74,0,0,0,11.76,2.94,4.41,1.47,5.15,0,14.71,5.88,0.74,19.12,0.74,5.88,13.24,2.94,0,1.47,0,0,0,0,0,0,0,0,0,12.5,7.35,3.68,0,0,0,0,0,0,1.47,0,0
